Domain,N,mean_FILTER,pct_nonzero_FILTER,mean_FILTER_NOT_EXISTS,pct_nonzero_FILTER_NOT_EXISTS,mean_OPTIONAL,pct_nonzero_OPTIONAL,mean_UNION,pct_nonzero_UNION,mean_GROUP_BY,pct_nonzero_GROUP_BY,mean_ORDER_BY,pct_nonzero_ORDER_BY,mean_LIMIT,pct_nonzero_LIMIT,mean_DISTINCT,pct_nonzero_DISTINCT,mean_HAVING,pct_nonzero_HAVING,mean_BIND,pct_nonzero_BIND,mean_VALUES,pct_nonzero_VALUES,mean_SUBQUERY,pct_nonzero_SUBQUERY,mean_REGEX,pct_nonzero_REGEX,mean_STRSTARTS,pct_nonzero_STRSTARTS,mean_COUNT,pct_nonzero_COUNT,mean_AGG_OTHER,pct_nonzero_AGG_OTHER
TelcoQA,1542,0.765,52.3,0.407,29.9,3.374,100.0,0.228,8.4,0.0,0.0,0.874,87.4,0.001,0.1,0.874,87.4,0.0,0.0,0.0,0.0,0.0,0.0,0.874,87.4,0.0,0.0,0.781,39.0,0.0,0.0,0.0,0.0
FiQA,240,0.0,0.0,0.062,4.6,3.329,100.0,0.475,17.5,0.012,0.4,0.0,0.0,0.067,2.1,0.0,0.0,0.05,1.7,0.0,0.0,0.0,0.0,0.721,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LegalQA,2124,0.0,0.0,0.013,1.3,2.829,100.0,0.092,4.2,0.0,0.0,0.0,0.0,0.006,0.2,0.0,0.0,0.003,0.1,0.0,0.0,0.0,0.0,0.999,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
