Domain,N,corpus_TTR,corpus_MATTR,corpus_MTLD,mean_per_q_TTR,std_per_q_TTR,mean_per_q_MATTR,std_per_q_MATTR
TelcoQA,1541,0.047,0.8114,90.398,0.7716,0.1377,0.8344,0.0832
FiQA,240,0.1653,0.7056,45.164,0.829,0.1322,0.8338,0.1241
LegalQA,2124,0.1189,0.7406,54.883,0.8444,0.0744,0.8444,0.0746
